Animal_ID,Tipo,Lectura,Peso_kg,Temperatura_C
1,Ternero,0,180.0,38.5
1,Ternero,1,181.33,38.5
1,Ternero,2,182.65,39.6
1,Ternero,3,184.65,39.3
1,Ternero,4,185.72,39.3
1,Ternero,5,187.72,39.5
1,Ternero,6,189.17,39.5
2,Novillo,0,280.0,38.5
2,Novillo,1,281.43,39.4
2,Novillo,2,282.35,38.7
2,Novillo,3,284.35,39.6
2,Novillo,4,285.42,38.1
2,Novillo,5,287.42,39.7
2,Novillo,6,288.36,38.1
3,Novillo,0,300.0,38.5
3,Novillo,1,301.37,38.8
3,Novillo,2,301.98,39.4
3,Novillo,3,302.28,39.2
3,Novillo,4,303.5,40.0
3,Novillo,5,303.8,38.1
3,Novillo,6,304.51,38.7
3,Novillo,7,304.81,38.9
4,Toro,0,450.0,38.5
4,Toro,1,451.46,39.7
4,Toro,2,452.86,38.9
4,Toro,3,453.16,39.3
4,Toro,4,454.38,39.9
4,Toro,5,454.68,38.4
4,Toro,6,456.17,39.9
4,Toro,7,456.47,38.6
5,Ternero,0,200.0,38.5
5,Ternero,1,200.81,38.2
5,Ternero,2,201.74,40.0
5,Ternero,3,203.74,39.3
5,Ternero,4,204.43,39.4
5,Ternero,5,206.43,38.3
5,Ternero,6,207.43,38.8
5,Ternero,7,209.43,38.7
5,Ternero,8,210.28,39.4
